district_id,district_name,at_risk_count
100,Unknown District,1
115,Unknown District,1
119,Unknown District,1
122,Unknown District,1
141,Unknown District,1
147,Unknown District,1
152,Unknown District,1
161,Unknown District,1
164,Unknown District,1
165,Unknown District,1
172,Unknown District,1
184,Unknown District,1
185,Unknown District,1
210,Unknown District,1
220,Unknown District,1
221,Unknown District,1
233,Unknown District,1
264,Unknown District,1
275,Unknown District,1
288,Unknown District,1
292,Unknown District,1
294,Unknown District,1
306,Unknown District,1
313,Unknown District,1
319,Unknown District,1
333,Unknown District,1
339,Unknown District,1
352,Unknown District,1
359,Unknown District,1
369,Unknown District,1
375,Unknown District,1
398,Unknown District,1
404,Unknown District,1
418,Unknown District,1
425,Unknown District,1
426,Unknown District,1
429,Unknown District,1
432,Unknown District,1
445,Unknown District,2
446,Unknown District,1
449,Unknown District,1
465,Unknown District,1
475,Unknown District,1
488,Unknown District,1
489,Unknown District,1
494,Unknown District,1
498,Unknown District,1
501,Unknown District,1
503,Unknown District,1
513,Unknown District,1
516,Unknown District,1
519,Unknown District,1
521,Unknown District,1
524,Unknown District,1
530,Unknown District,1
545,Unknown District,1
564,Unknown District,1
566,Unknown District,1
568,Unknown District,1
572,Unknown District,1
577,Unknown District,1
583,Unknown District,1
593,Unknown District,1
613,Unknown District,1
628,Unknown District,1
635,Unknown District,1
640,Unknown District,1
664,Unknown District,1
665,Unknown District,1
672,Unknown District,1
699,Unknown District,1
701,Unknown District,1
704,Unknown District,1
706,Unknown District,1
709,Unknown District,1
714,Unknown District,1
720,Unknown District,1
730,Unknown District,1
743,Unknown District,1
748,Unknown District,1
756,Unknown District,1
764,Unknown District,1
768,Unknown District,1
796,Unknown District,1
803,Unknown District,1
807,Unknown District,1
813,Unknown District,1
817,Unknown District,1
820,Unknown District,1
821,Unknown District,1
823,Unknown District,1
826,Unknown District,1
830,Unknown District,1
832,Unknown District,1
856,Unknown District,1
857,Unknown District,1
865,Unknown District,1
872,Unknown District,1
893,Unknown District,1
900,Unknown District,2
905,Unknown District,1
909,Unknown District,1
919,Unknown District,1
922,Unknown District,1
930,Unknown District,1
933,Unknown District,1
961,Unknown District,2
964,Unknown District,1
969,Unknown District,1
971,Unknown District,1
974,Unknown District,1
995,Unknown District,1
997,Unknown District,1
